Name,Indole,Urease,D-glucose,D-mannitol,Lactose,Sucrose,Maltose,Salacin,D-xylose,L-arabinose,Gelatinase,Esculin hyrdolysis,Glycerol,Cellobiose,D-mannose,Melezitose,Raffinose,Sorbitol,L-rhamnose,Trehalose,Catalase,Endospore?,Gram,Cocci?
Bacteroides fluxus,,,,,,,,,,,,,,,,,,,,,,,,
Bacteroides fragilis,,,,,,,,,,,,,,,,,,,,,,,,
Bacteroides intestinalis,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
Bacillus fusiformis,,,,,,,,,,,,,,,,,,,,,,,,
Bacillus licheniformis,,,,,,,,,,,,,,,,,,,,,,,,
Bacillus megaterium,,,,,,,,,,,,,,,,,,,,,,,,
Bacillus mycoides,,,,,,,,,,,,,,,,,,,,,,,,
Bacillus stearothermophilus,,,,,,,,,,,,,,,,,,,,,,,,
Bacillus subtilis,,,,,,,,,,,,,,,,,,,,,,,,
Bacillus thuringiensis,,,,,,,,,,,,,,,,,,,,,,,,
Bacteroides,,,,,,,,,,,,,,,,,,,,,,,,
Bacteroides fragilis,,,,,,,,,,,,,,,,,,,,,,,,
Bacteroides gingivalis,,,,,,,,,,,,,,,,,,,,,,,,
Bacteroides melaninogenicus,,,,,,,,,,,,,,,,,,,,,,,,
Bartonella,,,,,,,,,,,,,,,,,,,,,,,,
Bartonella henselae,,,,,,,,,,,,,,,,,,,,,,,,
Bartonella quintana,,,,,,,,,,,,,,,,,,,,,,,,
Bordetella,,,,,,,,,,,,,,,,,,,,,,,,
Bordetella bronchiseptica,,,,,,,,,,,,,,,,,,,,,,,,
Bordetella pertussis,,,,,,,,,,,,,,,,,,,,,,,,
Borrelia burgdorferi,,,,,,,,,,,,,,,,,,,,,,,,
Brucella,,,,,,,,,,,,,,,,,,,,,,,,
Brucella abortus,,,,,,,,,,,,,,,,,,,,,,,,
Brucella melitensis,,,,,,,,,,,,,,,,,,,,,,,,
Brucella suis,,,,,,,,,,,,,,,,,,,,,,,,
Burkholderia,,,,,,,,,,,,,,,,,,,,,,,,
Burkholderia mallei,,,,,,,,,,,,,,,,,,,,,,,,
Burkholderia pseudomallei,,,,,,,,,,,,,,,,,,,,,,,,
Burkholderia cepacia,,,,,,,,,,,,,,,,,,,,,,,,
Calymmatobacterium granulomatis,,,,,,,,,,,,,,,,,,,,,,,,
Campylobacter,,,,,,,,,,,,,,,,,,,,,,,,
Campylobacter coli,,,,,,,,,,,,,,,,,,,,,,,,
Campylobacter fetus,,,,,,,,,,,,,,,,,,,,,,,,
Campylobacter jejuni,,,,,,,,,,,,,,,,,,,,,,,,
Campylobacter pylori,,,,,,,,,,,,,,,,,,,,,,,,
Chlamydia,,,,,,,,,,,,,,,,,,,,,,,,
Chlamydia trachomatis,,,,,,,,,,,,,,,,,,,,,,,,
Chlamydophila,,,,,,,,,,,,,,,,,,,,,,,,
Chlamydophila pneumoniae,,,,,,,,,,,,,,,,,,,,,,,,
Chlamydophila psittaci,,,,,,,,,,,,,,,,,,,,,,,,
Clostridium,,,,,,,,,,,,,,,,,,,,,,,,
Clostridium botulinum,,,,,,,,,,,,,,,,,,,,,,,,
Clostridium difficile,,,,,,,,,,,,,,,,,,,,,,,,
Clostridium perfringens,,,,,,,,,,,,,,,,,,,,,,,,
Clostridium tetani,,,,,,,,,,,,,,,,,,,,,,,,
Corynebacterium,,,,,,,,,,,,,,,,,,,,,,,,
Corynebacterium diphtheriae,,,,,,,,,,,,,,,,,,,,,,,,
Corynebacterium fusiforme,,,,,,,,,,,,,,,,,,,,,,,,
Coxiella burnetti,,,,,,,,,,,,,,,,,,,,,,,,
Ehrlichia chaffeensis,,,,,,,,,,,,,,,,,,,,,,,,
Ehrlichia ewingii,,,,,,,,,,,,,,,,,,,,,,,,
Eikenalla corrodens,,,,,,,,,,,,,,,,,,,,,,,,
